Source,Target
418827,53932
418827,10068
418827,796
418827,28468
418827,345
72105,862
72105,19913
72105,24420
72105,290762
72105,44564
787,249070
787,2501
787,101
787,956
787,156022
9880,449176
9880,50479
9880,286565
9880,674
9880,466282
11631,437557
11631,10735
11631,109445
11631,634
11631,392
920,62211
920,364689
920,11006
920,127380
920,128
227159,483
227159,8067
227159,562
227159,1571
227159,769
507562,81
507562,378064
507562,129
507562,12429
507562,372058
391713,398818
391713,376867
391713,84892
391713,273153
391713,11421
818,817
818,955
818,608
818,238713
818,411
13053,9325
13053,927
13053,11886
13053,10948
13053,2698
950,425
950,7840
950,435
950,387893
11130,400617
11130,812
11130,597
11130,35
11130,38
228967,254904
228967,954
228967,955
228967,137094
228967,429351
10193,862
10193,214756
10193,72105
10193,38757
10193,10895
57800,425
57800,17610
57800,30505
57800,18905
57800,10567
194,1278
194,707
194,907
194,26973
194,451945
77338,290762
77338,44564
77338,862
77338,13
77338,72105
71552,1440
71552,843
71552,14
71552,787
71552,112160
100042,290762
100042,44564
100042,72105
100042,13
100042,862
41630,55721
41630,862
41630,13
41630,397422
41630,68718
370567,1934
370567,10705
370567,91745
370567,297708
370567,10688
62764,58595
62764,290595
62764,10140
62764,672
62764,673
127380,9479
127380,12
127380,10555
127380,920
127380,38055
225886,87567
225886,290762
225886,49519
225886,38
225886,11130
384677,769
384677,968
384677,2291
384677,7859
384677,18487
4247,429733
4247,22705
4247,398181
4247,238636
4247,339692
49519,425
49519,387592
49519,12429
49519,98
49519,8392
9502,140300
9502,278927
9502,24
9502,604
9502,605
8355,351286
8355,329
8355,15997
8355,135397
8355,105864
4638,4771
4638,429733
4638,984
4638,1696
4638,1949
454992,691
454992,37724
454992,954
454992,206647
454992,646
118,252
118,9880
118,10830
118,34584
118,411
19913,50544
19913,38
19913,862
19913,398818
19913,23949
120467,539
120467,311
120467,97630
120467,843
120467,3021
2062,6283
2062,308531
2062,10009
2062,10199
2062,212778
35,13
35,398818
35,5915
35,122906
35,421
43074,620
43074,4011
43074,91586
43074,416234
43074,122
193893,473149
193893,3580
193893,4771
193893,86838
193893,11423
210860,101299
210860,336843
210860,281957
210860,411
210860,9880
397422,521
397422,68718
397422,72105
397422,13
397422,862
278154,425
278154,17610
278154,387592
278154,18905
278154,49519
256961,324668
256961,298
256961,11078
256961,524
256961,36557
301337,604
301337,605
301337,500664
301337,335984
301337,603
203801,27576
203801,691
203801,954
203801,206647
203801,37724
400579,277216
400579,2758
400579,433
400579,111
400579,380
324852,93456
324852,10140
324852,16314
324852,2270
324852,36819
109414,627
109414,359940
109414,62211
109414,419430
109414,8363
8363,17899
8363,193893
8363,449176
8363,429733
8363,15144
371638,8966
371638,84892
371638,466282
371638,222935
371638,424
271718,195589
271718,510
271718,8363
271718,378018
271718,10582
211672,366142
211672,93456
211672,20352
211672,324852
211672,350
18360,1593
18360,863
18360,181533
18360,38055
18360,44826
238713,954
238713,955
238713,27576
238713,818
238713,817
302699,954
302699,27576
302699,691
302699,955
302699,956
502422,157336
502422,21385
502422,10144
502422,326359
502422,31135
10661,612
10661,433627
10661,399248
10661,8850
10661,8885
37834,954
37834,9737
37834,646
37834,47971
37834,206647
268531,346364
268531,406997
268531,52449
268531,862
268531,269149
10735,634
10735,9813
10735,437557
10735,8272
10735,11631
4944,50546
4944,1586
4944,332872
4944,11588
4944,455565
318846,106646
318846,769
318846,424
318846,389015
318846,316029
9471,954
9471,646
9471,708
9471,253
9471,955
431530,11395
431530,13673
431530,10872
431530,10147
431530,8871
809,808
809,10882
809,150689
809,810
809,159704
137116,585
137116,20352
137116,150540
137116,62211
137116,1124
7443,1368
7443,1635
7443,708
7443,107846
7443,483
9339,924
9339,264644
9339,82703
9339,1597
9339,2044
454283,16314
454283,1562
454283,105
454283,68718
454283,18885
10625,89185
10625,272693
10625,37725
10625,9880
10625,449176
109451,2062
109451,3034
109451,3035
109451,9738
109451,126889
200727,51828
200727,449176
200727,281957
200727,101299
200727,333339
59861,52449
59861,13374
59861,14069
59861,35052
59861,400928
196867,11224
196867,150689
196867,224141
196867,9325
196867,407655
46195,9325
46195,172385
46195,278927
46195,15969
46195,872
356305,18885
356305,40508
356305,16314
356305,12429
356305,272
460793,9479
460793,812
460793,150540
460793,8871
460793,10144
82702,10191
82702,425
82702,476926
82702,111
82702,277216
433310,206487
433310,141
433310,673
433310,105
433310,127585
511785,449176
511785,400547
511785,376867
511785,184352
511785,10806
399170,949
399170,336004
399170,298
399170,291805
399170,339403
342473,10545
342473,20352
342473,9325
342473,313369
342473,196867
9522,6557
9522,50124
9522,712
9522,24
9522,11130
80321,10527
80321,270946
80321,10258
80321,9836
80321,953
290762,370663
290762,376660
290762,13
290762,391713
290762,254470
502682,451480
502682,5951
502682,448514
502682,125255
51540,398181
51540,557
51540,7485
51540,9679
51540,64685
9023,326359
9023,13933
9023,145316
9023,504492
9023,194079
112160,449176
112160,14
112160,86331
112160,117486
112160,53932
324849,141052
324849,1924
324849,1452
324849,8536
324849,9531
22970,460885
22970,11298
22970,98568
22970,298584
22970,17609
10501,38757
10501,1865
10501,22
10501,24
10501,1572
19908,82654
19908,336843
19908,170
19908,72190
19908,280
116149,278927
116149,10140
116149,281957
116149,32657
116149,411
2770,17899
2770,8363
2770,19053
2770,22318
2770,106646
337170,254904
337170,141
337170,813
337170,954
337170,955
429733,15069
429733,357096
429733,96
429733,146198
429733,445954
4248,22705
4248,106646
4248,429733
4248,27088
4248,41280
2022,20863
18240,9813
18240,35
18240,11631
18240,437557
18240,273153
195589,325133
195589,179144
195589,8363
195589,19053
195589,17899
114150,254470
114150,460019
114150,368031
114150,290762
114150,122081
376660,76726
376660,391713
376660,449176
376660,8363
376660,10625
9472,13374
9472,348893
9472,312221
9472,49524
9472,319888
339404,585
339404,272
339404,1124
339404,621
339404,862
171274,9880
171274,769
171274,8966
171274,466282
171274,449176
37735,14671
37735,9880
37735,449176
37735,8363
37735,13374
187017,10625
187017,272693
187017,19840
187017,37725
187017,9880
11688,810
11688,10144
11688,150689
11688,809
11688,10473
4258,957
4258,3034
4258,808
4258,762
4258,813
264999,100042
264999,468
264999,11006
264999,77338
264999,920
172385,46195
172385,258489
172385,9352
172385,390062
172385,314095
174321,89185
174321,9880
174321,449176
174321,133805
174321,315635
41154,348
41154,602
41154,126889
41154,840
41154,20424
10555,62177
10555,109445
10555,326359
10555,127380
10555,297762
4256,40264
4256,5060
4256,4258
4256,3034
4256,8005
49524,11423
49524,75780
49524,238636
49524,210577
49524,9654
38357,16363
38357,988
38357,13812
38357,300693
38357,471754
10591,272693
10591,10625
10591,37725
10591,9880
10591,449176
7453,299687
7453,101299
7453,336843
7453,126889
7453,44826
487702,10625
487702,9880
487702,449176
487702,272693
487702,511785
267193,954
267193,353081
267193,27576
267193,818
267193,36669
308531,1724
308531,49521
308531,297762
308531,299536
308531,141052
44896,298
44896,524
44896,324668
44896,3179
44896,132923
487063,812
487063,489929
487063,270946
487063,416477
487063,23483
634,10735
634,1581
634,258480
634,11631
634,14
392,11631
392,745
392,601
392,425
392,111
239563,44564
239563,290762
239563,862
239563,13
239563,41630
168530,10587
168530,11001
168530,323675
168530,11825
168530,10157
88751,351286
88751,101299
88751,32657
88751,198663
88751,411
489929,238
489929,240
489929,272
489929,812
489929,209419
223702,179144
223702,8363
223702,12593
223702,195589
223702,9986
256591,1124
256591,291805
256591,264660
256591,796
256591,1252
50022,4771
50022,11423
50022,15069
50022,193893
50022,429733
109439,45243
109439,18785
109439,8859
109439,981
109439,87502
353616,254470
353616,114150
353616,354912
353616,335797
353616,419478
11430,150689
11430,10527
11430,2270
11430,810
11430,9732
205321,101299
205321,1979
205321,1572
205321,578
205321,332567
59436,333339
59436,8966
59436,32657
59436,50619
59436,466282
4327,11841
4327,24
4327,604
4327,605
4327,9502
6477,364689
6477,920
6477,2976
6477,10191
6477,290762
11397,15144
11397,9880
11397,10625
11397,40264
11397,11355
425980,402897
425980,14
425980,109414
425980,1359
425980,935
13374,449176
13374,9472
13374,18126
13374,585
13374,1124
382591,11631
382591,394117
382591,118
382591,122906
382591,260513
1593,351286
1593,181533
1593,135397
1593,105864
1593,12144
399796,49519
399796,325133
399796,12429
399796,13969
399796,8277
140300,9502
140300,808
140300,10191
140300,10140
140300,604
400928,10830
400928,52449
400928,103663
400928,437670
400928,233063
1268,9479
1268,1281
1268,1581
1268,8871
1268,17979
9637,10198
9637,253
9637,10585
9637,2667
9637,307663
257211,273153
257211,370663
257211,39781
257211,11631
257211,437557
346648,411
346648,278927
346648,2454
346648,281957
346648,10140
254320,119450
254320,63
254320,280
254320,782
254320,131631
10315,269149
10315,281957
10315,387592
10315,101
10315,956
11024,293167
11024,268896
11024,10528
11024,124905
11024,807
22705,50124
22705,14174
22705,55580
22705,27066
22705,24402
381341,1024
381341,24420
381341,290762
381341,44564
381341,13
112205,238
112205,1422
112205,154400
112205,241554
112205,707
503314,1891
503314,330459
503314,1892
503314,1894
503314,11
134374,111
134374,272
134374,339846
134374,238
134374,240
49013,920
49013,270946
49013,10140
49013,585
49013,673
45243,18785
45243,339692
45243,20289
45243,429733
45243,627
503619,109414
503619,935
503619,14
503619,419430
503619,1359
507143,89185
507143,10625
507143,9880
507143,449176
507143,272693
518452,273153
518452,370663
518452,11631
518452,437557
518452,376867
496704,124905
496704,19742
496704,15766
496704,7191
496704,268896
11887,10947
11887,2105
11887,449176
11887,308369
11887,376660
64688,193893
64688,187017
64688,11423
64688,75780
64688,807
4257,620
4257,91586
4257,4011
4257,11548
4257,166426
7326,449176
7326,2108
7326,315635
7326,9880
7326,15144
22538,16129
22538,359784
22538,9958
22538,49332
22538,35161
121826,354912
121826,2976
121826,254470
121826,313369
121826,245891
4380,4507
4380,28468
4380,843
4380,521
4380,27066
378236,416494
378236,381341
378236,339988
378236,543631
378236,489925
174188,449176
174188,9880
174188,489929
174188,2108
174188,37735
59962,862
59962,19913
59962,290762
59962,44564
59962,50544
325189,11887
325189,9880
325189,272693
325189,2105
325189,449176
76492,159824
76492,9479
76492,129
76492,671
76492,672
77931,812
77931,9479
77931,38757
77931,62177
77931,260513
50546,24420
50546,38
50546,1259
50546,12531
50546,41280
437670,400547
437670,52449
437670,8841
437670,8363
437670,59861
331588,281957
331588,392044
331588,336843
331588,101299
331588,133805
19994,1690
19994,588
19994,376660
19994,133805
19994,9880
3981,11631
3981,437557
3981,10735
3981,297762
3981,273153
233063,400547
233063,8841
233063,52449
233063,8363
233063,59861
9297,862
9297,124905
9297,956
9297,268896
9297,293167
39513,602
39513,840
39513,20424
39513,49849
39513,348
150117,87567
150117,49524
150117,11931
150117,50124
150117,400617
138832,4771
138832,339692
138832,429733
138832,273481
138832,398181
15165,224141
15165,11224
15165,458423
15165,194662
15165,114
82693,417678
82693,14313
82693,272693
82693,109689
82693,510
209244,425
209244,6283
209244,49519
209244,637
209244,93456
50544,862
50544,38
50544,19913
50544,1903
50544,290762
272693,449176
272693,286565
272693,308369
272693,9880
272693,1259
1574,396371
1574,1645
1574,413362
1574,311
1574,390043
8961,306
8961,96
8961,9737
8961,562
8961,1572
17899,14578
17899,122081
17899,8363
17899,2770
17899,179144
339967,458737
339967,927
339967,588
339967,51876
339967,262841
402897,419430
402897,14
402897,563
402897,310307
402897,68
10956,273153
10956,11631
10956,425
10956,370663
10956,468
107985,14161
107985,274855
107985,475210
107985,18
107985,158852
65057,1597
65057,352501
65057,3309
65057,12634
65057,11846
331313,7518
331313,246741
331313,1440
331313,80035
331313,10045
10358,41630
10358,4995
10358,8390
10358,8224
10358,10761
452030,10882
452030,5393
452030,224141
452030,11224
452030,808
747,19908
747,170
747,762
747,419430
747,68
58233,954
58233,37724
58233,207703
58233,206647
58233,47971
153518,338970
153518,12599
153518,9488
153518,9986
153518,9053
10204,707
10204,657
10204,253
10204,954
10204,714
8584,581
8584,808
8584,281957
8584,809
8584,384680
38365,290762
38365,44564
38365,72105
38365,13
38365,585
39939,273481
39939,179144
39939,8363
39939,17899
39939,624
12279,604
12279,605
12279,27205
12279,333339
12279,808
345915,359412
345915,949
345915,245891
345915,64690
345915,562
7518,10010
7518,281957
7518,11886
7518,7484
7518,10808
290250,4771
290250,2275
290250,807
290250,395990
290250,10144
39451,1597
39451,510
39451,10137
39451,378018
39451,4978
